年份,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,大连市,宁波市,厦门市,青岛市,深圳市
2010,91.12%,87.19%,67.42%,70.30%,61.09%,97.83%,73.57%,62.98%,88.07%,100.68%,109.14%,50.30%,100.26%,80.38%,74.28%,87.77%,85.31%,71.94%,84.53%,70.74%,56.63%,100.50%,93.14%,58.44%,59.96%,28.44%,90.87%,43.64%,53.50%,53.50%,63.46%,109.40%,192.29%,151.89%,89.96%,285.58%
2011,85.19%,83.24%,71.11%,79.35%,66.99%,98.17%,71.09%,64.98%,86.96%,100.94%,109.62%,67.39%,104.65%,83.45%,77.39%,99.98%,85.88%,75.91%,88.96%,81.48%,72.31%,104.77%,97.87%,67.43%,63.48%,43.03%,103.25%,47.83%,61.94%,58.52%,66.40%,109.35%,197.39%,162.83%,102.93%,277.18%
2012,88.30%,82.62%,78.00%,84.70%,77.32%,101.20%,76.84%,60.95%,90.19%,105.62%,106.31%,73.72%,108.62%,87.03%,79.18%,115.06%,94.65%,84.22%,101.79%,97.58%,83.41%,106.08%,108.15%,82.82%,70.71%,57.81%,117.30%,62.20%,70.92%,66.81%,71.58%,109.23%,198.22%,172.58%,112.71%,284.98%
2013,79.79%,75.72%,76.29%,84.01%,73.72%,102.50%,74.55%,63.50%,94.96%,102.89%,107.26%,72.61%,107.09%,85.44%,77.45%,107.07%,86.89%,76.05%,94.29%,91.12%,78.50%,107.18%,103.63%,74.54%,67.51%,52.56%,113.79%,56.65%,67.53%,63.08%,69.46%,108.73%,196.96%,183.14%,112.65%,316.08%
2014,88.03%,77.12%,82.61%,87.18%,87.15%,113.75%,82.06%,64.30%,100.90%,110.02%,107.54%,81.41%,111.93%,91.30%,79.33%,119.88%,91.42%,83.40%,107.95%,105.04%,82.93%,107.25%,108.72%,91.00%,73.29%,62.49%,125.79%,74.46%,74.73%,72.88%,79.29%,108.15%,232.02%,182.79%,108.83%,303.68%
2015,87.57%,78.08%,83.10%,87.52%,90.38%,116.98%,90.09%,65.39%,97.92%,112.31%,105.45%,84.69%,111.86%,88.12%,79.85%,122.07%,91.93%,85.13%,111.42%,106.43%,88.69%,104.06%,110.33%,101.92%,74.60%,67.38%,127.88%,96.29%,81.45%,78.71%,89.55%,102.72%,279.70%,177.07%,108.34%,286.36%
2016,86.32%,74.91%,83.82%,89.91%,95.29%,123.80%,95.57%,70.39%,94.00%,113.17%,104.36%,87.43%,111.47%,89.90%,77.24%,122.83%,91.74%,85.76%,114.46%,107.61%,91.60%,102.29%,108.95%,108.53%,79.43%,72.41%,127.45%,100.26%,84.54%,88.22%,136.90%,99.20%,267.52%,170.93%,103.45%,263.83%
2017,80.39%,78.94%,85.96%,87.07%,93.92%,114.38%,88.38%,68.20%,93.72%,110.89%,99.63%,89.43%,106.54%,90.61%,81.64%,122.35%,88.77%,84.05%,113.68%,109.37%,92.81%,100.02%,106.40%,109.00%,81.12%,82.02%,122.74%,101.62%,86.52%,92.48%,142.45%,101.14%,217.48%,167.40%,106.53%,260.86%
2018,81.09%,88.76%,87.67%,89.85%,95.21%,114.07%,86.87%,71.22%,95.17%,109.36%,96.46%,90.99%,101.54%,93.05%,81.68%,116.76%,89.38%,84.76%,114.44%,107.74%,91.92%,98.47%,105.63%,107.27%,83.86%,92.27%,118.83%,100.31%,85.28%,93.65%,136.85%,97.27%,186.66%,155.47%,104.86%,246.73%
2019,90.84%,98.67%,90.33%,90.67%,95.72%,104.41%,86.10%,71.79%,93.80%,107.53%,93.39%,91.47%,95.54%,94.32%,81.74%,112.90%,87.10%,86.25%,124.02%,110.82%,96.17%,97.12%,102.65%,107.13%,91.63%,95.93%,117.06%,102.80%,89.32%,94.41%,118.59%,96.98%,183.85%,153.11%,103.89%,217.35%
2020,97.40%,104.01%,90.70%,92.22%,93.47%,107.19%,88.15%,76.97%,92.89%,105.25%,90.40%,89.23%,92.18%,88.73%,78.71%,106.46%,84.88%,87.17%,106.40%,108.77%,93.31%,94.25%,97.95%,107.85%,95.23%,97.43%,110.27%,105.60%,89.83%,93.85%,103.63%,91.14%,179.88%,146.20%,113.05%,191.39%
2021,98.98%,105.82%,87.23%,90.91%,94.49%,97.38%,82.61%,75.12%,92.84%,98.99%,87.57%,86.52%,86.85%,83.20%,82.50%,102.80%,81.88%,87.01%,100.44%,103.37%,91.59%,91.97%,93.17%,105.53%,97.31%,96.69%,120.78%,107.44%,87.59%,89.92%,92.53%,99.85%,179.05%,147.66%,121.38%,184.10%
