年份,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,大连市,宁波市,厦门市,青岛市,深圳市
2022,76.92%,132.22%,118.54%,96.13%,91.12%,104.46%,98.49%,85.99%,91.12%,125.36%,101.54%,94.69%,113.38%,109.05%,128.94%,159.29%,114.59%,113.88%,126.19%,119.26%,111.33%,120.24%,124.23%,142.44%,110.2%,111.83%,116.37%,90.66%,95.69%,104.46%,115.41%,132.83%,162.89%,224.42%,147.17%,390.66%
2023,67.75%,132.6%,121.05%,97.4%,91.32%,101.18%,99.7%,82.2%,87.35%,126.96%,103.39%,90.44%,110.65%,103.8%,135.57%,164.42%,110.63%,114.27%,130.99%,122.53%,113.97%,112.84%,124.59%,153.99%,115.77%,118.31%,120.42%,91.32%,99.18%,105.15%,117.11%,133.33%,161.81%,219.39%,156.88%,394.32%
2024,58.58%,132.98%,123.56%,98.67%,91.52%,97.9%,100.91%,78.41%,83.58%,128.56%,105.24%,85.18%,107.34%,98.55%,143.69%,169.55%,105.18%,114.66%,137.06%,125.8%,116.61%,105.44%,124.95%,164.98%,122.08%,124.79%,123.97%,91.98%,102.67%,105.84%,117.96%,133.16%,159.29%,215.1%,167.5%,380.3%
2025,49.41%,133.36%,126.07%,99.94%,91.72%,94.62%,102.12%,74.62%,79.81%,130.16%,107.09%,79.12%,104.17%,93.3%,153.3%,174.68%,99.47%,115.05%,144.78%,129.07%,119.25%,98.04%,125.31%,175.43%,129.15%,131.27%,127.08%,92.64%,106.16%,106.53%,118.22%,133.0%,157.23%,211.44%,179.01%,343.31%
2026,40.24%,133.74%,128.58%,101.21%,91.92%,91.34%,103.33%,70.83%,76.04%,131.76%,108.94%,72.44%,101.56%,88.05%,164.4%,179.81%,94.62%,115.44%,154.01%,132.34%,121.89%,90.64%,125.67%,185.38%,136.97%,137.75%,129.82%,93.3%,109.65%,107.22%,118.13%,132.83%,155.53%,208.32%,191.43%,306.16%
2027,31.07%,134.12%,131.09%,102.48%,92.12%,88.06%,104.54%,67.04%,72.27%,133.36%,110.79%,65.26%,99.7%,82.8%,176.99%,184.94%,91.46%,115.83%,164.22%,135.61%,124.53%,83.24%,126.03%,194.85%,145.54%,144.23%,132.21%,93.96%,113.14%,107.91%,117.89%,132.67%,154.14%,205.66%,204.74%,286.14%
2028,21.9%,134.5%,133.6%,103.75%,92.32%,84.78%,105.75%,63.25%,68.5%,134.96%,112.64%,57.7%,98.6%,77.55%,191.07%,190.07%,90.38%,116.22%,175.0%,138.88%,127.17%,75.84%,126.39%,203.86%,154.87%,150.71%,134.31%,94.62%,116.63%,108.6%,117.61%,132.51%,153.0%,203.39%,218.96%,286.93%
2029,12.73%,134.88%,136.11%,105.02%,92.52%,81.5%,106.96%,59.46%,64.73%,136.56%,114.49%,49.84%,98.15%,72.3%,206.64%,195.2%,91.31%,116.61%,186.29%,142.15%,129.81%,68.44%,126.75%,212.44%,164.94%,157.19%,136.16%,95.28%,120.12%,109.29%,117.37%,132.34%,152.06%,201.45%,234.08%,290.36%
2030,3.56%,135.26%,138.62%,106.29%,92.72%,78.22%,108.17%,55.67%,60.96%,138.16%,116.34%,41.73%,98.18%,67.05%,223.7%,200.33%,93.84%,117.0%,198.38%,145.42%,132.45%,61.04%,127.11%,220.59%,175.77%,163.67%,137.77%,95.94%,123.61%,109.98%,117.19%,132.18%,151.29%,199.79%,250.1%,278.31%
2031,-5.61%,135.64%,141.13%,107.56%,92.92%,74.94%,109.38%,51.88%,57.19%,139.76%,118.19%,33.44%,98.52%,61.8%,242.25%,205.46%,97.27%,117.39%,211.65%,148.69%,135.09%,53.64%,127.47%,228.36%,187.35%,170.15%,139.19%,96.6%,127.1%,110.67%,117.08%,132.02%,150.66%,198.38%,267.02%,246.83%
2032,-14.78%,136.02%,143.64%,108.83%,93.12%,71.66%,110.59%,48.09%,53.42%,141.36%,120.04%,25.0%,99.0%,56.55%,262.29%,210.59%,100.83%,117.78%,226.28%,151.96%,137.73%,46.24%,127.83%,235.74%,199.68%,176.63%,140.43%,97.26%,130.59%,111.36%,117.03%,131.85%,150.14%,197.18%,284.84%,211.1%
2033,-23.95%,136.4%,146.15%,110.1%,93.32%,68.38%,111.8%,44.3%,49.65%,142.96%,121.89%,16.45%,99.5%,51.3%,283.82%,215.72%,103.83%,118.17%,242.13%,155.23%,140.37%,38.84%,128.19%,242.77%,212.77%,183.11%,141.53%,97.92%,134.08%,112.05%,117.01%,131.69%,149.71%,196.15%,303.56%,188.93%
2034,-33.12%,136.78%,148.66%,111.37%,93.52%,65.1%,113.01%,40.51%,45.88%,144.56%,123.74%,7.8%,99.93%,46.05%,306.84%,220.85%,105.76%,118.56%,258.93%,158.5%,143.01%,31.44%,128.55%,249.46%,226.6%,189.59%,142.48%,98.58%,137.57%,112.74%,117.01%,131.53%,149.36%,195.28%,323.18%,185.01%
2035,-42.29%,137.16%,151.17%,112.64%,93.72%,61.82%,114.22%,36.72%,42.11%,146.16%,125.59%,-0.92%,100.27%,40.8%,331.35%,225.98%,106.39%,118.95%,276.47%,161.77%,145.65%,24.04%,128.91%,255.82%,241.19%,196.07%,143.32%,99.24%,141.06%,113.43%,117.03%,131.37%,149.07%,194.53%,343.71%,186.53%
